id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,RightClickDisabled,PopUpWindow,IframeOrFrame,MissingTitle,ImagesOnlyInForm,CLASS_LABEL
1,3,1,5,81,1,1,0,0,1,0,0,0,0,14,1,1,0,0,1,0,29,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,0,5,78,1,1,0,0,3,0,0,0,0,4,1,1,0,0,0,0,13,58,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
3,3,0,4,53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,30,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
4,3,1,6,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,36,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
5,3,0,3,61,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,17,37,0,0,1,0,0.285714286,1,1,0,0,0,0,0,1,0,0,1
6,3,1,2,55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7, ,0,1, ,0,0,0,0,2,0,7,6,0,8,1,0,0,0,0,0,13,10, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,2,0,1,63,0,0,0,0,0,0,2,1,0,6,1,0,0,0,0,0,13,16,26,0,0,0,0.571428571,0,1,0,0,0,0,0,0,0,0,0
9,3,0,3,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,27,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
10,2,0,4,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,30,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
